Word,Count,Reading,JLPT Level,Meaning
旅,1,タビ,jlpt-n3,travel
尖る,1,トガル,jlpt-n2,to taper to a point
鬘,1,カツラ,unknown,wig
細い,1,ホソイ,jlpt-n5,thin
噛む,1,カム,jlpt-n4,to bite
物,1,モノ,jlpt-n5,thing
唇,1,クチビル,jlpt-n2,lip
なつ,1,ナツ,jlpt-n5,summer
思う,1,オモウ,jlpt-n4,to think
皺,1,シワ,jlpt-n1,wrinkle
鋭い,1,スルドイ,jlpt-n3,"sharp (knife, claws, etc.)"
鳥,1,トリ,jlpt-n5,bird
肉食,1,ニクショク,unknown,meat eating
見守る,1,ミマモル,unknown,to watch over
答,1,コタエ,jlpt-n4,answer
好奇,1,コウキ,unknown,inquisitiveness
大きい,1,オオキイ,jlpt-n5,big
いい,1,イイ,jlpt-n3,good
話す,1,ハナス,jlpt-n5,to talk
平凡,1,ヘイボン,jlpt-n2,ordinary
居る,1,オル,jlpt-n5,to be (of animate objects)
今時分,1,イマジブン,unknown,about this time
繩,1,*,unknown,stretching a rope around
お前,1,オマエ,jlpt-n3,you
位,1,クライ,jlpt-n3,throne
蛇,1,ヘビ,unknown,snake
弾く,1,ヒク,jlpt-n5,to play (a stringed or keyboard instrument)
合,1,ゴウ,unknown,gō
たち,1,タチ,unknown,pluralizing suffix (esp. for people and animals; formerly honorific)
菜,1,サイ,unknown,side dish
買,1,ガイ,jlpt-n5,shopping
無言,1,ムゴン,jlpt-n1,silence (not speaking)
なくす,1,ナクス,jlpt-n2,to lose (something)
知,1,チ,unknown,wisdom
押し,1,オシ,unknown,push
大,1,ダイ,unknown,large
意味,1,イミ,jlpt-n5,meaning
行かす,1,イカス,unknown,unknown
のける,1,ノケル,jlpt-n2,to put something out of the way
罵る,1,ノノシル,jlpt-n1,to abuse (verbally)
塞ぐ,1,フサグ,jlpt-n2,to stop up
傳,1,ツトウ,unknown,handing down (information)
行手,1,ユクテ,unknown,someone who is going
左,1,ヒダリ,jlpt-n5,left
お,1,オ,jlpt-n1,tail (of an animal)
逃げる,1,ニゲル,jlpt-n4,to run away
ふためく,1,フタメク,unknown,to make a commotion
